Seg_ID,UP_MH,DS_MH,Dia_Inch,Length_Ft,MWL_%,DS_%_depth,defects,Video_Quality,Risk_score,Inspection_ranking
203,304,303,42,698,30,0,1,0,2,3
204,303,302,42,520,30,0,1,0,2,3
205,302,301,48,762,30,0,1,0,2,3
206,301,300,48,1012,30,0,1,0,2,3
207,300,44,42,572,30,0,1,0,2,3
208,411,410,60,27,30,0,1,1,2,7
209,410,409,60,1960,20,0.04,1,1,2,7
210,409,408,60,706,20,0.02,1,1,2,7
211,408,400,60,1666,20,0,1,1,2,7
212,407,406.1,36,240,50,0,1,1,1,8
213,406,405,36,498,50,0,1,1,1,8
214,405,404,36,500,50,0.02,1,1,2,7
215,401,400,39,634,40,0,1,1,1,8
216,404,403,54,897,25,0.04,1,1,2,7
217,400,31,54,3370,25,0,1,1,2,7
218,403,402,39,966,40,0,1,1,1,8
219,402,401,39,1010,40,0,1,1,1,8
